map,rank,car,time
아이스 설산 다운힐,34,멘티스 9,02:27:82
아이스 부서진 빙산,17,멘티스 9,02:08:83
,100,이온 X,01:35:41
,74,골든 스톰 블레이드 9,02:06:24
WKC 상해 서킷,47,골든 스톰 블레이드 9,01:39:10
WKC 호주서킷,20,멘티스 9,01:36:68
황금문명 황금신전을 찾아서,50,골든 스톰 블레이드 9,01:21:74
황금문명 고디우스의 분노,15,붓 X,01:19:03
광산 뽀글뽀글 용암굴,15,붓 X,01:31:10
황금문명 비밀장치의 위협,30,골든 스톰 블레이드 9,02:10:51
광산 위험한 제련소,37,골든 스톰 블레이드 9,02:28:10
광산 3개의 지름길,33,멘티스 9,01:48:95
네모 산타의 비밀공간,118,비트 X,01:46:07
네모 장난감 선물공장,92,비트 X,01:15:92
네모 강철바위 용광로,63,비트 X,02:02:65
공동묘지 유령의 계곡,13,골든 스톰 블레이드 9,01:42:27
공동묘지 마왕의 초대,39,비트 X,02:05:53
공동묘지 해골성 대탐험,29,멘티스 9,02:20:26
비치 해변 드라이브,149,이온 X,02:00:33
차이나 북경 자금성,52,골든 스톰 블레이드 9,01:27:39
차이나 서안 병마용,122,이온 X,01:50:83
차이나 서안 병마용 2,69,이온 X,01:37:91
차이나 황산,105,이온 X,01:27:02
브로디 비밀의 연구소,34,붓 X,02:19:50
월드 런던 나이트,23,붓 X,01:20:63
월드 뉴욕 대질주,105,이온 X,01:32:74
월드 리오 다운힐,85,골든 스톰 블레이드 9,01:13:46
월드 파리 에펠탑 다이브,33,골든 스톰 블레이드 9,02:12:76
사막 피라미드 탐험,18,골든 스톰 블레이드 9,01:34:67
사막 울렁울렁,5,이온 X,01:47:15
해적 로비 절벽의 전투,87,이온 X,02:06:65
해적 숨겨진 보물,28,골든 스톰 블레이드 9,02:18:00
해적 상어섬의 비밀,19,비트 X,02:29:37
포레스트 통나무,19,골든 스톰 블레이드 9,01:36:93
[리버스] 아이스 갈라진 빙산,11,멘티스 9,02:13:28
빌리지 손가락,65,붓 X,01:31:30
팩토리 부비트랩 공장 탐험,18,멘티스 9,01:57:02
빌리지 고가의 질주,254,멘티스 9,01:49:21
빌리지 지우펀,42,골든 스톰 블레이드 9,01:24:85
빌리지 남산,64,이온 X,01:42:97
빌리지 만리장성,51,멘티스 9,02:00:04
노르테유 익스프레스,81,멘티스 9,02:07:26
[리버스] 광산 뽀글뽀글 용암굴,9,멘티스 9,01:27:73
문힐시티 덜컹덜컹 지하철 탈출,12,멘티스 9,01:25:91
문힐시티 폭우속의 질주,43,골든 스톰 블레이드 9,01:41:93
쥐라기 공룡 결투장,43,비트 X,02:01:28
[리버스] 사막 울렁울렁,9,멘티스 9,01:51:91
[리버스] 해적 위기일발 대탈출,16,이온 X,01:46:58
[리버스] 사막 빙글빙글 공사장,12,골든 스톰 블레이드 9,02:32:54
[리버스] 해적 폭풍 속의 질주,10,골든 스톰 블레이드 9,01:48:15
[리버스] 해적 로비 절벽의 전투,26,멘티스 9,02:10:87
[리버스] 포레스트 통나무,5,골든 스톰 블레이드 9,01:32:50
[리버스] 포레스트 버섯동굴,9,붓 X,01:27:27
[리버스] 포레스트 지그재그,12,골든 스톰 블레이드 9,02:26:45
[리버스] 빌리지 운하,36,골든 스톰 블레이드 9,01:13:35
[리버스] 노르테유 우주 정거장,7,골든 스톰 블레이드 9,01:21:06
